Match,T1P1 vs T2P6 runs,T1P1 vs T2P6 balls,T1P1 vs T2P6 wickets,T1P1 vs T2P7 runs,T1P1 vs T2P7 balls,T1P1 vs T2P7 wickets,T1P1 vs T2P8 runs,T1P1 vs T2P8 balls,T1P1 vs T2P8 wickets,T1P1 vs T2P9 runs,T1P1 vs T2P9 balls,T1P1 vs T2P9 wickets,T1P1 vs T2P10 runs,T1P1 vs T2P10 balls,T1P1 vs T2P10 wickets,T1P1 vs T2P11 runs,T1P1 vs T2P11 balls,T1P1 vs T2P11 wickets,T1P2 vs T2P6 runs,T1P2 vs T2P6 balls,T1P2 vs T2P6 wickets,T1P2 vs T2P7 runs,T1P2 vs T2P7 balls,T1P2 vs T2P7 wickets,T1P2 vs T2P8 runs,T1P2 vs T2P8 balls,T1P2 vs T2P8 wickets,T1P2 vs T2P9 runs,T1P2 vs T2P9 balls,T1P2 vs T2P9 wickets,T1P2 vs T2P10 runs,T1P2 vs T2P10 balls,T1P2 vs T2P10 wickets,T1P2 vs T2P11 runs,T1P2 vs T2P11 balls,T1P2 vs T2P11 wickets,T1P3 vs T2P6 runs,T1P3 vs T2P6 balls,T1P3 vs T2P6 wickets,T1P3 vs T2P7 runs,T1P3 vs T2P7 balls,T1P3 vs T2P7 wickets,T1P3 vs T2P8 runs,T1P3 vs T2P8 balls,T1P3 vs T2P8 wickets,T1P3 vs T2P9 runs,T1P3 vs T2P9 balls,T1P3 vs T2P9 wickets,T1P3 vs T2P10 runs,T1P3 vs T2P10 balls,T1P3 vs T2P10 wickets,T1P3 vs T2P11 runs,T1P3 vs T2P11 balls,T1P3 vs T2P11 wickets,T1P4 vs T2P6 runs,T1P4 vs T2P6 balls,T1P4 vs T2P6 wickets,T1P4 vs T2P7 runs,T1P4 vs T2P7 balls,T1P4 vs T2P7 wickets,T1P4 vs T2P8 runs,T1P4 vs T2P8 balls,T1P4 vs T2P8 wickets,T1P4 vs T2P9 runs,T1P4 vs T2P9 balls,T1P4 vs T2P9 wickets,T1P4 vs T2P10 runs,T1P4 vs T2P10 balls,T1P4 vs T2P10 wickets,T1P4 vs T2P11 runs,T1P4 vs T2P11 balls,T1P4 vs T2P11 wickets,T1P5 vs T2P6 runs,T1P5 vs T2P6 balls,T1P5 vs T2P6 wickets,T1P5 vs T2P7 runs,T1P5 vs T2P7 balls,T1P5 vs T2P7 wickets,T1P5 vs T2P8 runs,T1P5 vs T2P8 balls,T1P5 vs T2P8 wickets,T1P5 vs T2P9 runs,T1P5 vs T2P9 balls,T1P5 vs T2P9 wickets,T1P5 vs T2P10 runs,T1P5 vs T2P10 balls,T1P5 vs T2P10 wickets,T1P5 vs T2P11 runs,T1P5 vs T2P11 balls,T1P5 vs T2P11 wickets,T1P6 vs T2P6 runs,T1P6 vs T2P6 balls,T1P6 vs T2P6 wickets,T1P6 vs T2P7 runs,T1P6 vs T2P7 balls,T1P6 vs T2P7 wickets,T1P6 vs T2P8 runs,T1P6 vs T2P8 balls,T1P6 vs T2P8 wickets,T1P6 vs T2P9 runs,T1P6 vs T2P9 balls,T1P6 vs T2P9 wickets,T1P6 vs T2P10 runs,T1P6 vs T2P10 balls,T1P6 vs T2P10 wickets,T1P6 vs T2P11 runs,T1P6 vs T2P11 balls,T1P6 vs T2P11 wickets,T1P7 vs T2P6 runs,T1P7 vs T2P6 balls,T1P7 vs T2P6 wickets,T1P7 vs T2P7 runs,T1P7 vs T2P7 balls,T1P7 vs T2P7 wickets,T1P7 vs T2P8 runs,T1P7 vs T2P8 balls,T1P7 vs T2P8 wickets,T1P7 vs T2P9 runs,T1P7 vs T2P9 balls,T1P7 vs T2P9 wickets,T1P7 vs T2P10 runs,T1P7 vs T2P10 balls,T1P7 vs T2P10 wickets,T1P7 vs T2P11 runs,T1P7 vs T2P11 balls,T1P7 vs T2P11 wickets,T2P1 vs T1P6 runs,T2P1 vs T1P6 balls,T2P1 vs T1P6 wickets,T2P1 vs T1P7 runs,T2P1 vs T1P7 balls,T2P1 vs T1P7 wickets,T2P1 vs T1P8 runs,T2P1 vs T1P8 balls,T2P1 vs T1P8 wickets,T2P1 vs T1P9 runs,T2P1 vs T1P9 balls,T2P1 vs T1P9 wickets,T2P1 vs T1P10 runs,T2P1 vs T1P10 balls,T2P1 vs T1P10 wickets,T2P1 vs T1P11 runs,T2P1 vs T1P11 balls,T2P1 vs T1P11 wickets,T2P2 vs T1P6 runs,T2P2 vs T1P6 balls,T2P2 vs T1P6 wickets,T2P2 vs T1P7 runs,T2P2 vs T1P7 balls,T2P2 vs T1P7 wickets,T2P2 vs T1P8 runs,T2P2 vs T1P8 balls,T2P2 vs T1P8 wickets,T2P2 vs T1P9 runs,T2P2 vs T1P9 balls,T2P2 vs T1P9 wickets,T2P2 vs T1P10 runs,T2P2 vs T1P10 balls,T2P2 vs T1P10 wickets,T2P2 vs T1P11 runs,T2P2 vs T1P11 balls,T2P2 vs T1P11 wickets,T2P3 vs T1P6 runs,T2P3 vs T1P6 balls,T2P3 vs T1P6 wickets,T2P3 vs T1P7 runs,T2P3 vs T1P7 balls,T2P3 vs T1P7 wickets,T2P3 vs T1P8 runs,T2P3 vs T1P8 balls,T2P3 vs T1P8 wickets,T2P3 vs T1P9 runs,T2P3 vs T1P9 balls,T2P3 vs T1P9 wickets,T2P3 vs T1P10 runs,T2P3 vs T1P10 balls,T2P3 vs T1P10 wickets,T2P3 vs T1P11 runs,T2P3 vs T1P11 balls,T2P3 vs T1P11 wickets,T2P4 vs T1P6 runs,T2P4 vs T1P6 balls,T2P4 vs T1P6 wickets,T2P4 vs T1P7 runs,T2P4 vs T1P7 balls,T2P4 vs T1P7 wickets,T2P4 vs T1P8 runs,T2P4 vs T1P8 balls,T2P4 vs T1P8 wickets,T2P4 vs T1P9 runs,T2P4 vs T1P9 balls,T2P4 vs T1P9 wickets,T2P4 vs T1P10 runs,T2P4 vs T1P10 balls,T2P4 vs T1P10 wickets,T2P4 vs T1P11 runs,T2P4 vs T1P11 balls,T2P4 vs T1P11 wickets,T2P5 vs T1P6 runs,T2P5 vs T1P6 balls,T2P5 vs T1P6 wickets,T2P5 vs T1P7 runs,T2P5 vs T1P7 balls,T2P5 vs T1P7 wickets,T2P5 vs T1P8 runs,T2P5 vs T1P8 balls,T2P5 vs T1P8 wickets,T2P5 vs T1P9 runs,T2P5 vs T1P9 balls,T2P5 vs T1P9 wickets,T2P5 vs T1P10 runs,T2P5 vs T1P10 balls,T2P5 vs T1P10 wickets,T2P5 vs T1P11 runs,T2P5 vs T1P11 balls,T2P5 vs T1P11 wickets,T2P6 vs T1P6 runs,T2P6 vs T1P6 balls,T2P6 vs T1P6 wickets,T2P6 vs T1P7 runs,T2P6 vs T1P7 balls,T2P6 vs T1P7 wickets,T2P6 vs T1P8 runs,T2P6 vs T1P8 balls,T2P6 vs T1P8 wickets,T2P6 vs T1P9 runs,T2P6 vs T1P9 balls,T2P6 vs T1P9 wickets,T2P6 vs T1P10 runs,T2P6 vs T1P10 balls,T2P6 vs T1P10 wickets,T2P6 vs T1P11 runs,T2P6 vs T1P11 balls,T2P6 vs T1P11 wickets,T2P7 vs T1P6 runs,T2P7 vs T1P6 balls,T2P7 vs T1P6 wickets,T2P7 vs T1P7 runs,T2P7 vs T1P7 balls,T2P7 vs T1P7 wickets,T2P7 vs T1P8 runs,T2P7 vs T1P8 balls,T2P7 vs T1P8 wickets,T2P7 vs T1P9 runs,T2P7 vs T1P9 balls,T2P7 vs T1P9 wickets,T2P7 vs T1P10 runs,T2P7 vs T1P10 balls,T2P7 vs T1P10 wickets,T2P7 vs T1P11 runs,T2P7 vs T1P11 balls,T2P7 vs T1P11 wickets,T1P1 last3_bat runs,T1P1 last3_bat balls,T1P1 last3_bat wickets,T1P2 last3_bat runs,T1P2 last3_bat balls,T1P2 last3_bat wickets,T1P3 last3_bat runs,T1P3 last3_bat balls,T1P3 last3_bat wickets,T1P4 last3_bat runs,T1P4 last3_bat balls,T1P4 last3_bat wickets,T1P5 last3_bat runs,T1P5 last3_bat balls,T1P5 last3_bat wickets,T1P6 last3_bat runs,T1P6 last3_bat balls,T1P6 last3_bat wickets,T1P7 last3_bat runs,T1P7 last3_bat balls,T1P7 last3_bat wickets,T2P1 last3_bat runs,T2P1 last3_bat balls,T2P1 last3_bat wickets,T2P2 last3_bat runs,T2P2 last3_bat balls,T2P2 last3_bat wickets,T2P3 last3_bat runs,T2P3 last3_bat balls,T2P3 last3_bat wickets,T2P4 last3_bat runs,T2P4 last3_bat balls,T2P4 last3_bat wickets,T2P5 last3_bat runs,T2P5 last3_bat balls,T2P5 last3_bat wickets,T2P6 last3_bat runs,T2P6 last3_bat balls,T2P6 last3_bat wickets,T2P7 last3_bat runs,T2P7 last3_bat balls,T2P7 last3_bat wickets,T1P6 last3_bowl runs,T1P6 last3_bowl balls,T1P6 last3_bowl wickets,T1P7 last3_bowl runs,T1P7 last3_bowl balls,T1P7 last3_bowl wickets,T1P8 last3_bowl runs,T1P8 last3_bowl balls,T1P8 last3_bowl wickets,T1P9 last3_bowl runs,T1P9 last3_bowl balls,T1P9 last3_bowl wickets,T1P10 last3_bowl runs,T1P10 last3_bowl balls,T1P10 last3_bowl wickets,T1P11 last3_bowl runs,T1P11 last3_bowl balls,T1P11 last3_bowl wickets,T2P6 last3_bowl runs,T2P6 last3_bowl balls,T2P6 last3_bowl wickets,T2P7 last3_bowl runs,T2P7 last3_bowl balls,T2P7 last3_bowl wickets,T2P8 last3_bowl runs,T2P8 last3_bowl balls,T2P8 last3_bowl wickets,T2P9 last3_bowl runs,T2P9 last3_bowl balls,T2P9 last3_bowl wickets,T2P10 last3_bowl runs,T2P10 last3_bowl balls,T2P10 last3_bowl wickets,T2P11 last3_bowl runs,T2P11 last3_bowl balls,T2P11 last3_bowl wickets,T1 wins at stadium,T1 losses at stadium,T2 wins at stadium,T2 losses at stadium,T1 vs T2 win ratio,T2 vs T1 win ratio,Won defending at stadium,Won chasing at stadium,T1 fourth last match result,T1 third last match result,T1 second last match result,T1 last match result,T2 fourth last match result,T2 third last match result,T2 second last match result,T2 last match result,match result
340,,,,,,,,,,2,10,2,26,25,0,11,6,0,,,,,,,,,,11,10,1,37,32,0,37,30,0,,,,,,,,,,24,28,2,19,16,1,63,53,1,,,,,,,,,,8,5,0,4,5,0,1,1,0,,,,,,,,,,45,26,1,29,23,2,34,18,0,,,,,,,,,,22,20,0,29,17,1,7,6,0,,,,,,,,,,,,,,,,,,,,,,5,5,1,,,,,,,,,,13,12,0,,,,16,11,1,,,,,,,1,2,0,,,,,,,23,18,1,,,,,,,0,3,0,9,9,1,,,,5,6,0,,,,,,,,,,26,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,3,122,97,3,39,40,3,67,58,2,45,35,2,60,52,3,,,,41,42,3,61,51,3,67,69,3,,,,49,35,3,,,,,,,,,,54,48,0,,,,,,,59,72,0,,,,41,24,0,,,,,,,72,72,0,66,72,0,93,70,0,17,12,0,3,77.78,22.22,13,16,1,1,0,0,1,1,0,1,Team1
342,,,,22,9,0,30,20,1,,,,38,24,2,3,3,0,,,,,,,,,,,,,,,,,,,,,,3,5,1,35,32,2,,,,6,5,0,1,5,0,,,,22,12,0,,,,,,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,11,5,1,29,19,1,,,,11,7,0,5,6,0,,,,,,,9,6,0,,,,5,3,0,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,0,4,6,0,,,,,,,,,,,,,10,11,1,31,19,1,,,,,,,,,,17,9,0,18,17,0,,,,,,,,,,,,,,,,11,9,0,11,10,0,,,,,,,,,,,,,15,12,1,16,14,1,,,,,,,,,,,,,12,9,0,9,15,0,58,48,3,,,,36,44,2,,,,,,,,,,50,47,2,,,,57,63,2,113,67,3,,,,,,,98,58,2,,,,,,,,,,,,,74,48,0,63,66,0,112,54,0,,,,104,72,0,,,,,,,74,66,0,67,71,0,0,2,22,12,25,75,20,14,0,0,1,0,0,0,1,1,Team1
344,,,,,,,5,3,0,,,,26,16,0,,,,,,,,,,34,21,2,,,,83,51,1,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,64,36,0,27,13,0,,,,,,,,,,,,,,,,,,,,,,,,,11,4,0,,,,,,,,,,,,,,,,8,7,0,,,,55,26,1,1,5,0,,,,61,34,0,12,5,0,,,,24,12,1,15,13,0,,,,,,,,,,,,,,,,,,,,,,54,46,2,5,14,1,6,2,0,0,4,3,42,25,0,,,,22,16,0,4,5,0,16,14,0,29,9,0,6,3,0,,,,19,7,0,4,3,1,,,,,,,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,97,3,,,,84,80,3,34,36,3,,,,,,,34,43,2,102,75,2,,,,186,121,2,101,69,2,,,,,,,,,,,,,90,68,0,,,,68,66,0,104,66,0,85,60,0,,,,,,,116,72,0,,,,95,71,0,87,72,0,2,1,16,15,55.56,44.44,13,18,0,0,0,0,0,1,1,0,Team2
345,,,,,,,,,,10,12,1,,,,21,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,,,,5,3,0,,,,,,,,,,32,22,0,39,23,0,9,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,9,4,0,1,3,1,,,,10,8,1,33,31,2,20,13,2,13,18,0,46,28,1,,,,,,,,,,,,,0,2,1,,,,,,,,,,5,11,0,,,,21,18,2,8,13,0,,,,,,,9,5,0,22,12,0,16,8,0,,,,,,,6,4,0,19,11,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,24,1,7,3,0,5,7,0,6,5,0,66,69,3,,,,22,28,2,90,73,3,,,,,,,78,52,3,65,58,3,131,99,3,,,,,,,24,23,2,,,,31,34,1,,,,112,66,0,85,66,0,35,24,0,58,72,0,99,70,0,70,42,0,,,,,,,70,60,0,67,72,0,118,66,0,1,0,3,7,80,20,6,5,1,0,1,0,0,1,0,1,Team1
346,,,,,,,30,16,0,,,,55,32,1,19,9,0,,,,,,,6,4,0,,,,9,12,0,8,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,0,,,,20,19,1,16,19,0,,,,,,,13,16,2,,,,16,22,0,54,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,0,3,5,0,57,46,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,30,20,1,,,,,,,7,3,0,7,7,0,,,,44,34,3,,,,,,,8,4,0,16,9,1,,,,9,13,0,,,,,,,11,7,0,5,4,0,,,,17,9,0,,,,,,,,,,,,,,,,,,,,,,100,103,2,,,,,,,83,66,1,80,80,3,,,,45,31,2,20,33,3,164,102,3,144,92,1,89,59,1,49,36,3,,,,,,,,,,75,66,0,,,,,,,75,72,0,,,,,,,76,66,0,104,72,0,,,,72,60,0,18,9,2,2,44.44,55.56,9,18,1,1,0,1,0,1,1,1,Team1
347,,,,31,18,2,,,,15,14,0,,,,8,11,0,,,,21,15,0,19,14,1,6,6,0,4,4,0,27,19,1,,,,59,34,0,7,6,0,10,4,0,,,,32,29,0,,,,57,29,0,38,24,0,0,1,1,8,9,0,,,,,,,12,17,0,8,8,0,3,3,0,5,13,0,16,10,1,,,,29,23,1,15,7,0,6,11,0,18,16,0,4,3,1,,,,26,22,2,7,14,1,7,5,0,,,,1,1,0,,,,,,,33,18,0,,,,8,11,1,,,,,,,,,,40,32,1,,,,23,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,20,3,,,,28,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,25,0,,,,27,21,0,,,,112,93,2,76,77,2,48,39,3,94,62,3,19,24,3,84,71,3,81,53,2,76,54,3,,,,81,78,3,43,51,2,,,,60,38,1,52,50,2,,,,,,,,,,96,72,0,78,66,0,,,,,,,98,68,0,,,,106,72,0,70,66,0,83,60,0,2,1,13,17,60,40,16,13,0,1,1,0,0,0,0,0,Team1
348,,,,9,7,1,,,,14,14,2,1,1,0,,,,,,,,,,,,,36,30,2,44,41,1,39,38,0,,,,,,,,,,17,13,2,15,15,1,8,9,0,6,3,0,1,1,0,,,,49,31,0,6,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,0,,,,,,,12,6,0,,,,2,3,1,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,9,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19,0,,,,,,,,,,11,6,0,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,,,,,,,1,1,0,,,,,,,,,,,,,,,,6,4,0,52,48,3,16,20,3,,,,94,82,3,,,,41,42,3,31,28,3,,,,36,40,3,19,33,3,38,40,3,,,,40,32,3,39,29,2,,,,79,72,0,,,,,,,,,,64,62,0,97,72,0,35,24,0,,,,62,66,0,76,72,0,91,72,0,3,0,5,15,70,30,8,11,1,0,0,1,0,1,0,1,Team2
349,,,,,,,32,23,1,64,56,0,,,,,,,,,,,,,4,3,0,23,21,2,,,,,,,,,,,,,45,38,2,59,52,2,,,,,,,,,,,,,,,,6,7,1,,,,,,,,,,,,,12,8,0,13,14,1,,,,,,,,,,,,,15,8,1,6,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,16,0,,,,,,,15,20,2,31,19,1,,,,,,,,,,,,,,,,,,,,,,13,7,1,,,,,,,7,10,1,2,2,0,,,,36,28,1,,,,,,,29,14,0,13,10,1,,,,12,15,1,,,,,,,8,12,0,4,7,0,,,,19,17,1,,,,,,,,,,22,14,1,,,,10,15,1,,,,,,,4,7,1,12,11,2,172,130,3,43,36,2,58,52,3,96,64,2,38,36,3,,,,,,,157,120,1,,,,44,40,3,68,64,3,87,59,3,84,71,3,81,53,2,,,,75,54,0,,,,,,,81,72,0,105,69,0,,,,,,,76,57,0,,,,81,60,0,,,,18,12,3,1,40,60,14,16,0,0,1,0,1,1,0,1,Team2
350,,,,5,6,1,15,13,0,63,33,0,23,27,1,13,5,0,,,,6,3,0,33,27,0,13,13,0,18,26,0,0,1,1,,,,5,9,0,46,31,0,35,26,1,29,28,0,15,9,0,,,,,,,13,9,1,13,6,0,,,,13,8,0,,,,,,,5,3,1,34,29,0,9,5,0,4,6,0,,,,,,,,,,4,2,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,10,10,0,14,15,3,6,4,0,54,32,0,,,,6,6,0,11,18,0,1,1,0,15,12,0,14,12,0,,,,1,2,1,6,6,0,23,26,0,,,,17,18,2,,,,1,2,0,13,5,0,18,14,1,1,5,0,35,21,1,,,,2,4,0,10,9,0,,,,2,4,1,23,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,53,3,116,109,1,98,91,3,37,28,2,55,48,2,51,36,3,,,,30,39,3,66,63,2,124,101,3,110,72,3,,,,,,,,,,,,,68,67,0,43,54,0,69,46,0,,,,66,71,0,,,,79,70,0,75,72,0,85,60,0,102,71,0,90,72,0,2,1,17,15,44.44,55.56,13,18,1,0,1,1,1,1,0,1,Team2
351,,,,2,4,0,,,,,,,,,,,,,12,11,0,37,41,1,,,,15,8,1,7,5,0,9,7,0,7,8,0,38,27,2,,,,15,18,2,20,12,0,35,16,1,15,24,0,60,43,2,,,,36,21,1,21,22,0,29,27,1,,,,9,10,2,,,,12,9,0,8,6,1,7,4,1,,,,57,31,1,,,,27,21,1,36,24,1,8,7,0,,,,0,6,1,,,,,,,,,,,,,,,,,,,34,29,2,,,,12,18,1,50,28,2,,,,,,,38,29,1,,,,32,26,3,15,20,0,,,,,,,15,16,1,,,,,,,23,22,1,,,,,,,9,5,0,,,,9,13,0,9,10,3,,,,,,,,,,,,,,,,0,1,1,,,,,,,1,2,1,,,,,,,7,4,0,,,,,,,27,24,0,,,,14,8,0,16,13,2,,,,46,33,2,157,109,3,138,89,1,33,28,2,58,47,3,18,32,3,46,56,2,54,46,3,16,21,3,,,,90,64,1,,,,44,44,2,,,,,,,71,66,0,,,,,,,80,72,0,,,,89,68,0,,,,,,,67,66,0,89,66,0,2,2,13,18,54.55,45.45,17,13,1,1,1,0,0,0,0,0,Team2
